01:59:48.487508 IP comp3134-intro-to-cyber-security.ssh > cpe64777d54b1a3-cm64777d54b1a0.cpe.net.cable.rogers.com.11434: Flags [P.], seq 147727568:147727796, ack 88525, win 501, length 228
01:59:48.488882 IP comp3134-intro-to-cyber-security.ssh > cpe64777d54b1a3-cm64777d54b1a0.cpe.net.cable.rogers.com.11434: Flags [P.], seq 147732584:147732812, ack 88525, win 501, length 228
01:59:48.488941 IP comp3134-intro-to-cyber-security.ssh > cpe64777d54b1a3-cm64777d54b1a0.cpe.net.cable.rogers.com.11434: Flags [P.], seq 147732812:147733040, ack 88525, win 501, length 228
01:59:48.489035 IP cpe64777d54b1a3-cm64777d54b1a0.cpe.net.cable.rogers.com.11434 > comp3134-intro-to-cyber-security.ssh: Flags [.], ack 147684940, win 1022, length 0
01:59:48.489063 IP comp3134-intro-to-cyber-security.ssh > cpe64777d54b1a3-cm64777d54b1a0.cpe.net.cable.rogers.com.11434: Flags [P.], seq 147733040:147733268, ack 88525, win 501, length 228
01:59:48.489100 IP cpe64777d54b1a3-cm64777d54b1a0.cpe.net.cable.rogers.com.11434 > comp3134-intro-to-cyber-security.ssh: Flags [.], ack 147689956, win 1026, length 0
01:59:48.489100 IP cpe64777d54b1a3-cm64777d54b1a0.cpe.net.cable.rogers.com.11434 > comp3134-intro-to-cyber-security.ssh: Flags [.], ack 147694912, win 1022, length 0
01:59:48.489101 IP cpe64777d54b1a3-cm64777d54b1a0.cpe.net.cable.rogers.com.11434 > comp3134-intro-to-cyber-security.ssh: Flags [.], ack 147699472, win 1026, length 0
01:59:48.489222 IP comp3134-intro-to-cyber-security.ssh > cpe64777d54b1a3-cm64777d54b1a0.cpe.net.cable.rogers.com.11434: Flags [P.], seq 147733268:147734160, ack 88525, win 501, length 892
01:59:48.489285 IP comp3134-intro-to-cyber-security.ssh > cpe64777d54b1a3-cm64777d54b1a0.cpe.net.cable.rogers.com.11434: Flags [P.], seq 147734160:147734388, ack 88525, win 501, length 228
01:59:48.489342 IP comp3134-intro-to-cyber-security.ssh > cpe64777d54b1a3-cm64777d54b1a0.cpe.net.cable.rogers.com.11434: Flags [P.], seq 147734388:147734616, ack 88525, win 501, length 228
01:59:48.489402 IP comp3134-intro-to-cyber-security.ssh > cpe64777d54b1a3-cm64777d54b1a0.cpe.net.cable.rogers.com.11434: Flags [P.], seq 147734616:147734844, ack 88525, win 501, length 228
01:59:48.489457 IP comp3134-intro-to-cyber-security.ssh > cpe64777d54b1a3-cm64777d54b1a0.cpe.net.cable.rogers.com.11434: Flags [P.], seq 147734844:147735072, ack 88525, win 501, length 228
01:59:48.489517 IP comp3134-intro-to-cyber-security.ssh > cpe64777d54b1a3-cm64777d54b1a0.cpe.net.cable.rogers.com.11434: Flags [P.], seq 147735072:147735300, ack 88525, win 501, length 228
01:59:48.489573 IP comp3134-intro-to-cyber-security.ssh > cpe64777d54b1a3-cm64777d54b1a0.cpe.net.cable.rogers.com.11434: Flags [P.], seq 147735300:147735528, ack 88525, win 501, length 228
01:59:48.489631 IP comp3134-intro-to-cyber-security.ssh > cpe64777d54b1a3-cm64777d54b1a0.cpe.net.cable.rogers.com.11434: Flags [P.], seq 147735528:147735756, ack 88525, win 501, length 228
01:59:48.489689 IP comp3134-intro-to-cyber-security.ssh > cpe64777d54b1a3-cm64777d54b1a0.cpe.net.cable.rogers.com.11434: Flags [P.], seq 147735756:147735984, ack 88525, win 501, length 228
01:59:48.489745 IP comp3134-intro-to-cyber-security.ssh > cpe64777d54b1a3-cm64777d54b1a0.cpe.net.cable.rogers.com.11434: Flags [P.], seq 147735984:147736212, ack 88525, win 501, length 228
01:59:48.489801 IP comp3134-intro-to-cyber-security.ssh > cpe64777d54b1a3-cm64777d54b1a0.cpe.net.cable.rogers.com.11434: Flags [P.], seq 147736212:147736440, ack 88525, win 501, length 228
01:59:48.489861 IP comp3134-intro-to-cyber-security.ssh > cpe64777d54b1a3-cm64777d54b1a0.cpe.net.cable.rogers.com.11434: Flags [P.], seq 147736440:147736668, ack 88525, win 501, length 228
01:59:48.489929 IP comp3134-intro-to-cyber-security.ssh > cpe64777d54b1a3-cm64777d54b1a0.cpe.net.cable.rogers.com.11434: Flags [P.], seq 147736668:147736896, ack 88525, win 501, length 228
01:59:48.489989 IP comp3134-intro-to-cyber-security.ssh > cpe64777d54b1a3-cm64777d54b1a0.cpe.net.cable.rogers.com.11434: Flags [P.], seq 147736896:147737124, ack 88525, win 501, length 228
01:59:48.490045 IP comp3134-intro-to-cyber-security.ssh > cpe64777d54b1a3-cm64777d54b1a0.cpe.net.cable.rogers.com.11434: Flags [P.], seq 147737124:147737352, ack 88525, win 501, length 228
01:59:48.490102 IP comp3134-intro-to-cyber-security.ssh > cpe64777d54b1a3-cm64777d54b1a0.cpe.net.cable.rogers.com.11434: Flags [P.], seq 147737352:147737580, ack 88525, win 501, length 228
01:59:48.490165 IP comp3134-intro-to-cyber-security.ssh > cpe64777d54b1a3-cm64777d54b1a0.cpe.net.cable.rogers.com.11434: Flags [P.], seq 147737580:147737808, ack 88525, win 501, length 228
01:59:48.490221 IP comp3134-intro-to-cyber-security.ssh > cpe64777d54b1a3-cm64777d54b1a0.cpe.net.cable.rogers.com.11434: Flags [P.], seq 147737808:147738036, ack 88525, win 501, length 228
01:59:48.490281 IP comp3134-intro-to-cyber-security.ssh > cpe64777d54b1a3-cm64777d54b1a0.cpe.net.cable.rogers.com.11434: Flags [P.], seq 147738036:147738264, ack 88525, win 501, length 228
01:59:48.490337 IP comp3134-intro-to-cyber-security.ssh > cpe64777d54b1a3-cm64777d54b1a0.cpe.net.cable.rogers.com.11434: Flags [P.], seq 147738264:147738492, ack 88525, win 501, length 228
01:59:48.490393 IP comp3134-intro-to-cyber-security.ssh > cpe64777d54b1a3-cm64777d54b1a0.cpe.net.cable.rogers.com.11434: Flags [P.], seq 147738492:147738720, ack 88525, win 501, length 228
01:59:48.490453 IP comp3134-intro-to-cyber-security.ssh > cpe64777d54b1a3-cm64777d54b1a0.cpe.net.cable.rogers.com.11434: Flags [P.], seq 147738720:147738948, ack 88525, win 501, length 228
01:59:48.490517 IP comp3134-intro-to-cyber-security.ssh > cpe64777d54b1a3-cm64777d54b1a0.cpe.net.cable.rogers.com.11434: Flags [P.], seq 147738948:147739176, ack 88525, win 501, length 228
01:59:48.490586 IP comp3134-intro-to-cyber-security.ssh > cpe64777d54b1a3-cm64777d54b1a0.cpe.net.cable.rogers.com.11434: Flags [P.], seq 147739176:147739404, ack 88525, win 501, length 228
01:59:48.490643 IP comp3134-intro-to-cyber-security.ssh > cpe64777d54b1a3-cm64777d54b1a0.cpe.net.cable.rogers.com.11434: Flags [P.], seq 147739404:147739632, ack 88525, win 501, length 228
01:59:48.490699 IP comp3134-intro-to-cyber-security.ssh > cpe64777d54b1a3-cm64777d54b1a0.cpe.net.cable.rogers.com.11434: Flags [P.], seq 147739632:147739860, ack 88525, win 501, length 228
01:59:48.490757 IP comp3134-intro-to-cyber-security.ssh > cpe64777d54b1a3-cm64777d54b1a0.cpe.net.cable.rogers.com.11434: Flags [P.], seq 147739860:147740088, ack 88525, win 501, length 228
01:59:48.490813 IP comp3134-intro-to-cyber-security.ssh > cpe64777d54b1a3-cm64777d54b1a0.cpe.net.cable.rogers.com.11434: Flags [P.], seq 147740088:147740316, ack 88525, win 501, length 228
01:59:48.490871 IP comp3134-intro-to-cyber-security.ssh > cpe64777d54b1a3-cm64777d54b1a0.cpe.net.cable.rogers.com.11434: Flags [P.], seq 147740316:147740544, ack 88525, win 501, length 228
01:59:48.490927 IP comp3134-intro-to-cyber-security.ssh > cpe64777d54b1a3-cm64777d54b1a0.cpe.net.cable.rogers.com.11434: Flags [P.], seq 147740544:147740772, ack 88525, win 501, length 228
01:59:48.490983 IP comp3134-intro-to-cyber-security.ssh > cpe64777d54b1a3-cm64777d54b1a0.cpe.net.cable.rogers.com.11434: Flags [P.], seq 147740772:147741000, ack 88525, win 501, length 228
01:59:48.491053 IP comp3134-intro-to-cyber-security.ssh > cpe64777d54b1a3-cm64777d54b1a0.cpe.net.cable.rogers.com.11434: Flags [P.], seq 147741000:147741228, ack 88525, win 501, length 228
01:59:48.491110 IP comp3134-intro-to-cyber-security.ssh > cpe64777d54b1a3-cm64777d54b1a0.cpe.net.cable.rogers.com.11434: Flags [P.], seq 147741228:147741456, ack 88525, win 501, length 228
01:59:48.491167 IP comp3134-intro-to-cyber-security.ssh > cpe64777d54b1a3-cm64777d54b1a0.cpe.net.cable.rogers.com.11434: Flags [P.], seq 147741456:147741684, ack 88525, win 501, length 228
01:59:48.491223 IP comp3134-intro-to-cyber-security.ssh > cpe64777d54b1a3-cm64777d54b1a0.cpe.net.cable.rogers.com.11434: Flags [P.], seq 147741684:147741912, ack 88525, win 501, length 228
01:59:48.491281 IP comp3134-intro-to-cyber-security.ssh > cpe64777d54b1a3-cm64777d54b1a0.cpe.net.cable.rogers.com.11434: Flags [P.], seq 147741912:147742140, ack 88525, win 501, length 228
01:59:48.491342 IP comp3134-intro-to-cyber-security.ssh > cpe64777d54b1a3-cm64777d54b1a0.cpe.net.cable.rogers.com.11434: Flags [P.], seq 147742140:147742368, ack 88525, win 501, length 228
01:59:48.491402 IP comp3134-intro-to-cyber-security.ssh > cpe64777d54b1a3-cm64777d54b1a0.cpe.net.cable.rogers.com.11434: Flags [P.], seq 147742368:147742596, ack 88525, win 501, length 228
01:59:48.491457 IP comp3134-intro-to-cyber-security.ssh > cpe64777d54b1a3-cm64777d54b1a0.cpe.net.cable.rogers.com.11434: Flags [P.], seq 147742596:147742824, ack 88525, win 501, length 228
01:59:48.491513 IP comp3134-intro-to-cyber-security.ssh > cpe64777d54b1a3-cm64777d54b1a0.cpe.net.cable.rogers.com.11434: Flags [P.], seq 147742824:147743052, ack 88525, win 501, length 228
01:59:48.491573 IP comp3134-intro-to-cyber-security.ssh > cpe64777d54b1a3-cm64777d54b1a0.cpe.net.cable.rogers.com.11434: Flags [P.], seq 147743052:147743280, ack 88525, win 501, length 228
01:59:48.491630 IP comp3134-intro-to-cyber-security.ssh > cpe64777d54b1a3-cm64777d54b1a0.cpe.net.cable.rogers.com.11434: Flags [P.], seq 147743280:147743508, ack 88525, win 501, length 228
01:59:48.491694 IP comp3134-intro-to-cyber-security.ssh > cpe64777d54b1a3-cm64777d54b1a0.cpe.net.cable.rogers.com.11434: Flags [P.], seq 147743508:147743736, ack 88525, win 501, length 228
01:59:48.491749 IP comp3134-intro-to-cyber-security.ssh > cpe64777d54b1a3-cm64777d54b1a0.cpe.net.cable.rogers.com.11434: Flags [P.], seq 147743736:147743964, ack 88525, win 501, length 228
01:59:48.491804 IP comp3134-intro-to-cyber-security.ssh > cpe64777d54b1a3-cm64777d54b1a0.cpe.net.cable.rogers.com.11434: Flags [P.], seq 147743964:147744192, ack 88525, win 501, length 228
01:59:48.491860 IP comp3134-intro-to-cyber-security.ssh > cpe64777d54b1a3-cm64777d54b1a0.cpe.net.cable.rogers.com.11434: Flags [P.], seq 147744192:147744420, ack 88525, win 501, length 228
01:59:48.491918 IP comp3134-intro-to-cyber-security.ssh > cpe64777d54b1a3-cm64777d54b1a0.cpe.net.cable.rogers.com.11434: Flags [P.], seq 147744420:147744648, ack 88525, win 501, length 228
01:59:48.491974 IP comp3134-intro-to-cyber-security.ssh > cpe64777d54b1a3-cm64777d54b1a0.cpe.net.cable.rogers.com.11434: Flags [P.], seq 147744648:147744876, ack 88525, win 501, length 228
01:59:48.492033 IP comp3134-intro-to-cyber-security.ssh > cpe64777d54b1a3-cm64777d54b1a0.cpe.net.cable.rogers.com.11434: Flags [P.], seq 147744876:147745104, ack 88525, win 501, length 228
01:59:48.492098 IP comp3134-intro-to-cyber-security.ssh > cpe64777d54b1a3-cm64777d54b1a0.cpe.net.cable.rogers.com.11434: Flags [P.], seq 147745104:147745332, ack 88525, win 501, length 228
01:59:48.492193 IP comp3134-intro-to-cyber-security.ssh > cpe64777d54b1a3-cm64777d54b1a0.cpe.net.cable.rogers.com.11434: Flags [P.], seq 147745332:147745560, ack 88525, win 501, length 228
01:59:48.492260 IP comp3134-intro-to-cyber-security.ssh > cpe64777d54b1a3-cm64777d54b1a0.cpe.net.cable.rogers.com.11434: Flags [P.], seq 147745560:147745788, ack 88525, win 501, length 228
01:59:48.492319 IP comp3134-intro-to-cyber-security.ssh > cpe64777d54b1a3-cm64777d54b1a0.cpe.net.cable.rogers.com.11434: Flags [P.], seq 147745788:147746016, ack 88525, win 501, length 228
01:59:48.492377 IP comp3134-intro-to-cyber-security.ssh > cpe64777d54b1a3-cm64777d54b1a0.cpe.net.cable.rogers.com.11434: Flags [P.], seq 147746016:147746244, ack 88525, win 501, length 228
01:59:48.492438 IP comp3134-intro-to-cyber-security.ssh > cpe64777d54b1a3-cm64777d54b1a0.cpe.net.cable.rogers.com.11434: Flags [P.], seq 147746244:147746472, ack 88525, win 501, length 228
